mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
Dog Day Afternoon,https://en.wikipedia.org/wiki/Dog_Day_Afternoon,Sidney Lumet,Martin Bregman;Martin Elfand,NA,Al Pacino;John Cazale;James Broderick;Charles Durning,NA,Victor J. Kemper,Dede Allen,Warner Bros.,"September 20, 1975 (1975-09-20) (San Sebastián);September 21, 1975 (1975-09-21) (United States)",125 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/4/44/Dog_Day_Afternoon_film_poster.jpg,"Dog Day Afternoon is a 1975 American crime drama film directed by Sidney Lumet, written by Frank Pierson, and produced by Martin Bregman and Martin Elfand. The film stars Al Pacino, John Cazale, Charles Durning, Chris Sarandon, Penelope Allen, James Broderick, Lance Henriksen, and Carol Kane. The title refers to the sultry ""dog days"" of summer."
Dog Tags,https://en.wikipedia.org/wiki/Dog_Tags_(film),Damion Dietz,"Damion Dietz, Stephanie Kirchen",Damion Dietz,Paul Preiss;Bart Fletcher,Jeffery Alan Jones,Terence Pratt,Denise Howard,NA,"April 10, 2008 (2008-04-10)",NA,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Dog-tags-by-danion-dietz.jpg/220px-Dog-tags-by-danion-dietz.jpg,Dog Tags is a 2008 film written and directed by Damion Dietz starring Paul Preiss and Bart Fletcher.[1]
"Do Paise Ki Dhoop, Chaar Aane Ki Baarish","https://en.wikipedia.org/wiki/Do_Paise_Ki_Dhoop,_Chaar_Aane_Ki_Baarish",Deepti Naval,Kite Films,Deepti Naval,Manisha Koirala;Rajit Kapur;Sanaj Naval,"Sandesh Shandilya, Gulzar",Kiran Deohans,NA,NA,22 May 2009 (2009-05-22) (Cannes),NA,India,Hindi,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Do_Paise_Ki_Dhoop%2C_Chaar_Aane_Ki_Baarish.jpeg/220px-Do_Paise_Ki_Dhoop%2C_Chaar_Aane_Ki_Baarish.jpeg,"Do Paise Ki Dhoop, Chaar Aane Ki Baarish is a direct to video Bollywood film written, and directed by Deepti Naval, starring Manisha Koirala, Rajit Kapur and Naval’s nephew, newcomer, Sanaj Naval in the lead roles.[1]"
Doing Time on Maple Drive,https://en.wikipedia.org/wiki/Doing_Time_on_Maple_Drive,Ken Olin,NA,James Duff,James Sikking;Bibi Besch;William McNamara;Jayne Brook;David Byron;with Lori Loughlin;and Jim Carrey,NA,Elba Sanchez-Short,NA,NA,NA,FNM Films,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Doingtimeonmapledrivecover.jpg/250px-Doingtimeonmapledrivecover.jpg,"Doing Time on Maple Drive is a 1992 drama television film. Written by James Duff and directed by Ken Olin, the film stars James Sikking, Bibi Besch, William McNamara, Jayne Brook, David Byron, Lori Loughlin and Jim Carrey. The tagline promoting the film was ""They are living a lie called the Perfect American Family"". It was shot entirely in Los Angeles."
"Don Juan, or If Don Juan Were a Woman","https://en.wikipedia.org/wiki/Don_Juan,_or_If_Don_Juan_Were_a_Woman",Roger Vadim,NA,Jean Cau;Roger Vadim;Jean-Pierre Petrolacci,Brigitte Bardot;Robert Hossein;Mathieu Carrière;Jane Birkin,Michel Magne,Henri Decaë;Andréas Winding,Victoria Mercanton,Cocinor;Scotia American,"February 22, 1973 (1973-02-22) (France);April 21, 1973 (1973-04-21) (Italy)",90 min.,France;Italy,French;Swedish;English,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Don_Juan_73.jpg/220px-Don_Juan_73.jpg,"Don Juan, or If Don Juan Were a Woman (French: Don Juan ou Si Don Juan était une femme...) is a 1973 French-Italian drama film by Roger Vadim. It sees Vadim reunite with his leading lady and ex-wife Brigitte Bardot for their fifth film together. Bardot achieved international stardom and Vadim got his break when he directed her in the 1956 sensation, And God Created Woman. It was her second to last film before retiring.[2]"
Donne-moi la main,https://en.wikipedia.org/wiki/Give_Me_Your_Hand_(film),Donne-moi la main,Pascal-Alex Vincent,Nicolas Brevière,Pascal-Alex Vincent;Olivier Nicklaus;Martin Drouot,Alexandre Carril;Victor Carril;Anaïs Demoustier,Tarwater,Alexis Kavyrchine,Local Films;Busse &amp; Halberschmidt Filmproduktion,Bodega Films (France),27 November 2008 (2008-11-27) (TFF);28 February 2009 (2009-02-28) (France);26 February 2009 (2009-02-26) (Germany),80 minutes,France;Germany,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Donne-moi_la_main.jpg/220px-Donne-moi_la_main.jpg,Give Me Your Hand (French: Donne-moi la main) is a 2008 French-German drama film directed by Pascal-Alex Vincent.[1] The soundtrack was composed by electronic/post rock band Tarwater.
Don't Tell Anyone,https://en.wikipedia.org/wiki/Don%27t_Tell_Anyone,Mikaela Shwer,NA,NA,NA,Ben Messlebeck,Mikaela Shwer,NA,NA,NA,NA,NA,NA,NA,POV
The Doom Generation,https://en.wikipedia.org/wiki/The_Doom_Generation,Gregg Araki,Gregg Araki;Andrea Sperling,Gregg Araki,James Duval;Rose McGowan;Johnathon Schaech,Dan Gatto,Jim Fealy,Gregg Araki;Kate McGowan,Trimark Pictures,"January 26, 1995 (1995-01-26) (Sundance Film Festival);October 25, 1995 (1995-10-25)",83 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Doom_generation.jpg/220px-Doom_generation.jpg,"The Doom Generation is a 1995 American dark comedy film written and directed by Gregg Araki. It stars James Duval, Rose McGowan, and Johnathon Schaech. The film follows two troubled teenage lovers Amy Blue (McGowan) and Jordan White (Duval) who pick up a young handsome drifter named Xavier Red (Schaech). After he accidentally kills a store's clerk, the trio embarks on a journey full of sex, violence, and people from Amy's past. Billed as ""A Heterosexual Movie by Gregg Araki"", The Doom Generation is the second film in the director's trilogy known as the ""Teenage Apocalypse Trilogy"", the first being Totally Fucked Up (1993) and the last one Nowhere (1997). The characters of Amy Blue and Jordan White are based on the Mark Beyer comic strip ""Amy and Jordan""."
Dorian Blues,https://en.wikipedia.org/wiki/Dorian_Blues,Tennyson Bardwell,Tennyson Bardwell;Mary-Beth Taylor;Portia Kamons;Frank D'Andrea,Tennyson Bardwell,Michael McMillian;Lea Coco;Steven Charles Fletcher;Mo Quigley,Will Severin,Taylor Morrison,Ann Marie Lizzi,TLA Releasing,"March 12, 2004 (2004-03-12) (San Jose);September 23, 2005 (2005-09-23)",88 minutes,United States,English,NA,Dorian Blues is a 2004 comedy-drama film about a gay teenager coming to terms with his identity in upstate New York. The film was written and directed by Tennyson Bardwell and is loosely based on Bardwell's college roommate.[3]
Dorian Gray,https://en.wikipedia.org/wiki/Dorian_Gray_(2009_film),Oliver Parker,Barnaby Thompson,NA,Ben Barnes;Colin Firth;Rebecca Hall;Ben Chaplin;Emilia Fox;Rachel Hurd-Wood,Charlie Mole,Roger Pratt,Guy Bensley,Momentum Pictures,9 September 2009 (2009-09-09),112 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Dorian_gray_ver2.jpg/250px-Dorian_gray_ver2.jpg,Dorian Gray is a 2009 British fantasy-horror drama film based on Oscar Wilde's 1890 novel The Picture of Dorian Gray.
Dostana,https://en.wikipedia.org/wiki/Dostana_(2008_film),Tarun Mansukhani,Hiroo Yash Johar;Karan Johar,NA,Abhishek Bachchan;John Abraham;Priyanka Chopra,Vishal–Shekhar (songs);Salim–Sulaiman (background score),Ayananka Bose,Manan Sagar,Yash Raj Films,14 November 2008 (2008-11-14),139 minutes[1],India,Hindi,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Dostana%2C_2008_film_poster.jpg/220px-Dostana%2C_2008_film_poster.jpg,"Dostana (Friendship) is a 2008 Indian romantic comedy film directed by Tarun Mansukhani and produced by Karan Johar and Hiroo Yash Johar. The film stars Abhishek Bachchan, John Abraham and Priyanka Chopra, with Bobby Deol, Kirron Kher, Sushmita Mukherjee and Boman Irani in supporting roles. Dostana tells the story of two men who pretend to be gay to share an apartment with a girl; eventually, both fall in love with her."
Doubt,https://en.wikipedia.org/wiki/Doubt_(2003_film),Crisaldo Pablo,Clarence Tan America,Crisaldo Pablo,Andoy Ranay;Pablo Gabriel,NA,NA,NA,NA,2003,90 minutes,Philippines,Tagalog,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/DudaDoubt.jpg/220px-DudaDoubt.jpg,"Doubt (Tagalog: Duda) is a 2003 Philippine film about fidelity and deception in a gay relationship. Cris, a young director, meets Erick and developed a relationship with him. After being together for several months, their relationship began to fall apart and is complicated by people involved in their lives."
Dream Boy,https://en.wikipedia.org/wiki/Dream_Boy_(film),James Bolton,James Bolton;Herb Hamsher,NA,Stephan Bender;Max Roeg,Richard Buckner,Sarah Levy,Annette Davey;Chris Houghton,Regent Releasing,"October 24, 2008 (2008-10-24) (CIFF)",90 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Dream_Boy_Poster.jpg/220px-Dream_Boy_Poster.jpg,Dream Boy is a 2008 gay-themed romantic drama film written and directed by James Bolton and based on Jim Grimsley's 1995 novel of the same name about two gay teenagers who fall in love in the rural South during the late 1970s.
Dream for an Insomniac,https://en.wikipedia.org/wiki/Dream_for_an_Insomniac,Tiffanie DeBartolo,Phyllis Housen;John Hackett;Christopher Lloyd;Rita Rokisky,NA,Ione Skye;Jennifer Aniston;Mackenzie Astin;Michael Landes;Robert Kelker-Kelly;Seymour Cassel,NA,Guillermo Navarro,NA,NA,"June 19, 1998 (U.S.)",NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Dream-for-an-insomniac-movie-poster-1998-1020196371.jpg/220px-Dream-for-an-insomniac-movie-poster-1998-1020196371.jpg,"Dream for an Insomniac is a 1996 romantic comedy movie written and directed by Tiffanie DeBartolo. It stars Ione Skye, Jennifer Aniston, Mackenzie Astin and Michael Landes."
Dream Kitchen,https://en.wikipedia.org/wiki/Dream_Kitchen,Barry Dignam,Conor McKiernan;Katherina Fay;Barry Dignam,Barry Dignam;(adapted from an original stage scene by Kevin McCarthy),Andrew Lovern;Frank Coughlan;Caroline Rothwell;Sarah Pilkington;Loclann Aiken,"""Dream Kitchen"" by Frazier Chorus;""Un bel di vedremo"" performed by the Orchestra of the Opera House, Rome",David O'Sullivan,Michelle Spilanne,NA,1999 (1999),8 minutes,Ireland,English,NA,Dream Kitchen is a 1999 Irish short film directed by Barry Dignam in which a young man fantasises about coming out to his parents.[1]
The Dreamers,https://en.wikipedia.org/wiki/The_Dreamers_(film),Bernardo Bertolucci,Jeremy Thomas,NA,Michael Pitt;Eva Green;Louis Garrel,NA,Fabio Cianchetti,Jacopo Quadri,TFM Distribution (France);Medusa Distribuzione (Italy);Fox Searchlight Pictures,10 October 2003 (2003-10-10) (Italy);10 December 2003 (2003-12-10) (France);6 February 2004 (2004-02-06),115 minutes,United Kingdom;France;Italy;United States,English;French,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/The_Dreamers_movie.jpg/215px-The_Dreamers_movie.jpg,"The Dreamers is a 2003 romantic drama film directed by Bernardo Bertolucci. The screenplay is by Gilbert Adair, based on his own novel The Holy Innocents. An international co-production by companies from France, the United Kingdom, and Italy, the film tells the story of an American university student in Paris who, after meeting a peculiar brother and sister who are fellow film enthusiasts, becomes entangled in an erotic conflict. It is set against the backdrop of the 1968 Paris student riots. The film makes several references to various movies of classical and New Wave cinema, incorporating clips from films that are often imitated by the actors in particular scenes."
Dressed to Kill,https://en.wikipedia.org/wiki/Dressed_to_Kill_(1980_film),Brian De Palma,George Litto,Brian De Palma,Michael Caine;Angie Dickinson;Nancy Allen;Keith Gordon,Pino Donaggio,Ralf D. Bode,Gerald B. Greenberg,Filmways Pictures,"July 25, 1980 (1980-07-25)",104 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Dressed_to_kill.jpg/220px-Dressed_to_kill.jpg,"Dressed to Kill is a 1980 American erotic thriller film written and directed by Brian De Palma and starring Michael Caine, Angie Dickinson, Nancy Allen, and Keith Gordon. It centers on the murder of a housewife and an investigation involving a young prostitute who witnessed the murder, the victim’s teenaged son, and her psychiatrist. The original music score is composed by Pino Donaggio."
